Record Date,Security Type Description,Series Code,Security Class 1 Description,Security Class 2 Description,Security Class 3 Description,Interest Rate,Yield,Issue Date,Maturity Date,Interest Payable Date 1,Interest Payable Date 2,Interest Payable Date 3,Interest Payable Date 4,Issued Amount (in Millions),Amount Adjusted for Inflation (in Millions),Redeemed Amount (in Millions),Outstanding Amount (in Millions),Prior Month Outstanding Amount (in Millions),Current Month Issued Amount (in Millions),Current Month Redeemed Amount (in Millions),Current Month Outstanding Amount (in Millions),Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2023-08-31,Nonmarketable,null,Government Account Series,Intragovernmental Holdings,"Farm Credit Insurance Fund, Capital Corporation Investment Fund, Farm Credit Administration",null,null,null,null,null,null,null,null,null,null,null,null,6854.81961897,256.49980209,-220.13635311,6891.18306795,901,2023,4,2023,3,08,31
2023-08-31,Nonmarketable,null,Government Account Series,Intragovernmental Holdings,"Federal Aid To Wildlife Restoration, United States Fish And Wildlife Service",null,null,null,null,null,null,null,null,null,null,null,null,3025,1119,-1019,3125,902,2023,4,2023,3,08,31
2023-08-31,Nonmarketable,null,Government Account Series,Intragovernmental Holdings,Federal Disability Insurance Trust Fund,null,null,null,null,null,null,null,null,null,null,null,null,141084.604,13320.611,-12872.658,141532.557,903,2023,4,2023,3,08,31
2023-08-31,Nonmarketable,null,Government Account Series,Intragovernmental Holdings,Federal Hospital Insurance Trust Fund,null,null,null,null,null,null,null,null,null,null,null,null,205718.044,27969.373,-33548.86,200138.557,904,2023,4,2023,3,08,31
2023-08-31,Nonmarketable,null,Government Account Series,Intragovernmental Holdings,Federal Housing Finance Board Working Capital Fund,null,null,null,null,null,null,null,null,null,null,null,null,199.2955161,4202.72411465,-4230.34907424,171.67055651,905,2023,4,2023,3,08,31
2023-08-31,Nonmarketable,null,Government Account Series,Intragovernmental Holdings,Federal Old-Age And Survivors Insurance Trust Fund,null,null,null,null,null,null,null,null,null,null,null,null,2715753.953,78453.806,-102608.158,2691599.601,906,2023,4,2023,3,08,31
2023-08-31,Nonmarketable,null,Government Account Series,Intragovernmental Holdings,Federal Supplementary Medical Insurance Trust Fund,null,null,null,null,null,null,null,null,null,null,null,null,195647.244,50748.749,-52941.768,193454.225,907,2023,4,2023,3,08,31
2023-08-31,Nonmarketable,null,Government Account Series,Intragovernmental Holdings,"FHA, Mutual Mortgage Insurance Capital Reserve Account, Housing and Urban Development",null,null,null,null,null,null,null,null,null,null,null,null,132348.02853513,3124.92334769,-2762.72725553,132710.22462729,908,2023,4,2023,3,08,31
2023-08-31,Nonmarketable,null,Government Account Series,Intragovernmental Holdings,Financial Research Fund,null,null,null,null,null,null,null,null,null,null,null,null,69.9812043,1697.67742478,-1705.07246089,62.58616819,909,2023,4,2023,3,08,31
2023-08-31,Nonmarketable,null,Government Account Series,Intragovernmental Holdings,"Fishermen's Contingency Fund, National Oceanic and Atmospheric Administration",null,null,null,null,null,null,null,null,null,null,null,null,0.79674556,0,0,0.79674556,910,2023,4,2023,3,08,31
2023-08-31,Nonmarketable,null,Government Account Series,Intragovernmental Holdings,"Foreign Fishing Observer Fund, National Oceanic And Atmospheric Administration",null,null,null,null,null,null,null,null,null,null,null,null,1.47246648,0,0,1.47246648,911,2023,4,2023,3,08,31
2023-08-31,Nonmarketable,null,Government Account Series,Intragovernmental Holdings,"Foreign Service National Defined Contributions Retirement Fund, State",null,null,null,null,null,null,null,null,null,null,null,null,359.78464166,2.0069114,0,361.79155306,912,2023,4,2023,3,08,31
2023-08-31,Nonmarketable,null,Government Account Series,Intragovernmental Holdings,Foreign Service Retirement And Disability Fund,null,null,null,null,null,null,null,null,null,null,null,null,20793.656,36.685,-97.233,20733.108,913,2023,4,2023,3,08,31
2023-08-31,Nonmarketable,null,Government Account Series,Intragovernmental Holdings,"FSLIC Resolution Fund, The",null,null,null,null,null,null,null,null,null,null,null,null,922.439,21267.178,-21262.876,926.741,914,2023,4,2023,3,08,31
2023-08-31,Nonmarketable,null,Government Account Series,Intragovernmental Holdings,"General Post Fund, National Homes, Department Of Veterans Affairs",null,null,null,null,null,null,null,null,null,null,null,null,140.23854664,0,0,140.23854664,915,2023,4,2023,3,08,31
2023-08-31,Nonmarketable,null,Government Account Series,Intragovernmental Holdings,"Gifts And Bequests, Treasury",null,null,null,null,null,null,null,null,null,null,null,null,1.08516946,25.23922956,-25.2341408,1.09025822,916,2023,4,2023,3,08,31
2023-08-31,Nonmarketable,null,Government Account Series,Intragovernmental Holdings,"Guarantees Of Mortgage-Backed Securities Capital Reserve Account, Government National Mortgage",null,null,null,null,null,null,null,null,null,null,null,null,20340.646,468956.049,-468861.507,20435.188,917,2023,4,2023,3,08,31
2023-08-31,Nonmarketable,null,Government Account Series,Intragovernmental Holdings,"Guarantees Of Mortgage-Backed Securities Fund, Government National Mortgage Association, Housing And Urban Development",null,null,null,null,null,null,null,null,null,null,null,null,128.862,2970.222,-2969.652,129.432,918,2023,4,2023,3,08,31
2023-08-31,Nonmarketable,null,Government Account Series,Intragovernmental Holdings,Gulf Coast Restoration Trust Fund,null,null,null,null,null,null,null,null,null,null,null,null,2298.14012937,8539.50087736,-8531.94817416,2305.69283257,919,2023,4,2023,3,08,31
2023-08-31,Nonmarketable,null,Government Account Series,Intragovernmental Holdings,Harbor Maintenance Trust Fund,null,null,null,null,null,null,null,null,null,null,null,null,10359.74783634,51652.1107107,-51404.08395266,10607.77459438,920,2023,4,2023,3,08,31
